model,dataset,subject,acc_train,acc_val,acc_test
EEGNet,BCICIV_I,all,0.8042857050895691,0.5428571701049805,0.5571428571428572
ShallowConvNet,BCICIV_I,all,0.8899999856948853,0.5400000214576721,0.5485714285714286
DeepConvNet,BCICIV_I,all,0.8257142901420593,0.5428571701049805,0.5457142857142857
EEGNet,BCICIV_I,BCICIV_calib_ds1a,0.9200000166893005,0.6600000262260437,0.5
ShallowConvNet,BCICIV_I,BCICIV_calib_ds1a,1.0,0.7400000095367432,0.88
DeepConvNet,BCICIV_I,BCICIV_calib_ds1a,0.9300000071525574,0.7200000286102295,0.58
EEGNet,BCICIV_I,BCICIV_calib_ds1b,0.9900000095367432,0.6399999856948853,0.52
ShallowConvNet,BCICIV_I,BCICIV_calib_ds1b,0.9800000190734863,0.47999998927116394,0.4
DeepConvNet,BCICIV_I,BCICIV_calib_ds1b,0.9900000095367432,0.5799999833106995,0.46
EEGNet,BCICIV_I,BCICIV_calib_ds1c,0.9800000190734863,0.4000000059604645,0.5
ShallowConvNet,BCICIV_I,BCICIV_calib_ds1c,1.0,0.3799999952316284,0.56
DeepConvNet,BCICIV_I,BCICIV_calib_ds1c,1.0,0.46000000834465027,0.54
EEGNet,BCICIV_I,BCICIV_calib_ds1d,0.9900000095367432,0.5199999809265137,0.52
ShallowConvNet,BCICIV_I,BCICIV_calib_ds1d,1.0,0.4399999976158142,0.56
DeepConvNet,BCICIV_I,BCICIV_calib_ds1d,0.9800000190734863,0.46000000834465027,0.56
EEGNet,BCICIV_I,BCICIV_calib_ds1e,0.9900000095367432,0.5400000214576721,0.52
ShallowConvNet,BCICIV_I,BCICIV_calib_ds1e,1.0,0.41999998688697815,0.56
DeepConvNet,BCICIV_I,BCICIV_calib_ds1e,0.9700000286102295,0.5600000023841858,0.5
EEGNet,BCICIV_I,BCICIV_calib_ds1f,0.9900000095367432,0.6000000238418579,0.52
ShallowConvNet,BCICIV_I,BCICIV_calib_ds1f,0.9700000286102295,0.6000000238418579,0.62
DeepConvNet,BCICIV_I,BCICIV_calib_ds1f,0.9300000071525574,0.5400000214576721,0.58
EEGNet,BCICIV_I,BCICIV_calib_ds1g,0.9100000262260437,0.46000000834465027,0.54
ShallowConvNet,BCICIV_I,BCICIV_calib_ds1g,1.0,0.699999988079071,0.56
DeepConvNet,BCICIV_I,BCICIV_calib_ds1g,0.9599999785423279,0.5600000023841858,0.5
EEGNet,BCICIV_II,all,0.5883838534355164,0.16919191181659698,0.22727272727272727
ShallowConvNet,BCICIV_II,all,0.5631313323974609,0.20454545319080353,0.26515151515151514
DeepConvNet,BCICIV_II,all,0.8005050420761108,0.22727273404598236,0.21464646464646464
EEGNet,eeg-mi,BCICIV_eval_ds1a,0.4422909915447235,0.3204164206981659,0.31868131868131866
ShallowConvNet,eeg-mi,BCICIV_eval_ds1a,0.48047441244125366,0.2620011568069458,0.24349334875650666
DeepConvNet,eeg-mi,BCICIV_eval_ds1a,0.4955163300037384,0.24522845447063446,0.2515905147484095
EEGNet,BCICIV_II,A01T,0.7569444179534912,0.4166666567325592,0.4166666666666667
ShallowConvNet,BCICIV_II,A01T,0.6180555820465088,0.2222222238779068,0.3472222222222222
DeepConvNet,BCICIV_II,A01T,0.9722222089767456,0.2222222238779068,0.3472222222222222
EEGNet,BCICIV_II,A02T,0.7777777910232544,0.3055555522441864,0.3611111111111111
ShallowConvNet,BCICIV_II,A02T,0.625,0.3333333432674408,0.2361111111111111
DeepConvNet,BCICIV_II,A02T,0.9861111044883728,0.2916666567325592,0.2222222222222222
EEGNet,BCICIV_II,A04T,0.9861111044883728,0.4444444477558136,0.4722222222222222
ShallowConvNet,BCICIV_II,A04T,0.8888888955116272,0.4722222089767456,0.4722222222222222
DeepConvNet,BCICIV_II,A04T,1.0,0.5555555820465088,0.5277777777777778
EEGNet,BCICIV_II,A05T,0.7847222089767456,0.25,0.3333333333333333
ShallowConvNet,BCICIV_II,A05T,0.7291666865348816,0.2777777910232544,0.3472222222222222
DeepConvNet,BCICIV_II,A05T,1.0,0.2638888955116272,0.25
EEGNet,BCICIV_II,A06T,0.7777777910232544,0.2361111044883728,0.16666666666666666
ShallowConvNet,BCICIV_II,A06T,0.7986111044883728,0.3888888955116272,0.3194444444444444
DeepConvNet,BCICIV_II,A06T,0.9930555820465088,0.25,0.16666666666666666
EEGNet,BCICIV_II,A09T,0.8125,0.3888888955116272,0.4444444444444444
ShallowConvNet,BCICIV_II,A09T,0.7430555820465088,0.2916666567325592,0.3055555555555556
DeepConvNet,BCICIV_II,A09T,0.9861111044883728,0.25,0.16666666666666666
EEGNet,eeg-mi,S001,0.8444444537162781,0.35555556416511536,0.3333333333333333
ShallowConvNet,eeg-mi,S001,0.9444444179534912,0.2666666805744171,0.35555555555555557
DeepConvNet,eeg-mi,S001,1.0,0.2888889014720917,0.24444444444444444
EEGNet,eeg-mi,S002,0.9333333373069763,0.2888889014720917,0.28888888888888886
ShallowConvNet,eeg-mi,S002,0.9444444179534912,0.2666666805744171,0.26666666666666666
DeepConvNet,eeg-mi,S002,0.9888888597488403,0.2666666805744171,0.24444444444444444
EEGNet,eeg-mi,S003,0.855555534362793,0.2888889014720917,0.28888888888888886
ShallowConvNet,eeg-mi,S003,0.800000011920929,0.31111112236976624,0.4
DeepConvNet,eeg-mi,S003,0.9888888597488403,0.2888889014720917,0.24444444444444444
EEGNet,eeg-mi,S004,0.9555555582046509,0.24444444477558136,0.35555555555555557
ShallowConvNet,eeg-mi,S004,0.9777777791023254,0.31111112236976624,0.3111111111111111
DeepConvNet,eeg-mi,S004,1.0,0.2666666805744171,0.28888888888888886
