cross_val_score,Accuracy,Precision,Recall,F1_score,auc,kappa,mathew_coef,dataset,subject,pipeline,model_name
0.999,0.9969135802469136,0.9969888587774766,0.9969135802469136,0.9969135802469136,0.5811428078945101,0.9955106621773289,0.9955244561452127,Motor Imaginary,15,PCA,XGB
0.999,0.9938271604938271,0.9941211052322163,0.9938271604938271,0.9938832687153647,0.5653710247349824,0.9910514541387024,0.9911116448141291,Motor Imaginary,15,PCA,KNN
0.999,0.9938271604938271,0.9939024390243901,0.9938271604938271,0.9938075093083177,0.5689476859432905,0.9909893624417715,0.9910365028641682,Motor Imaginary,12,PCA,XGB
0.999,0.9907407407407407,0.990909090909091,0.9907407407407407,0.9907250938288137,0.5830388692579505,0.9864633382076458,0.9865589442607655,Motor Imaginary,19,PCA,XGB
0.999,0.9845679012345679,0.9845183758855133,0.9845679012345679,0.9844474934795315,0.5795053003533569,0.9774768512081862,0.9775370258191958,Motor Imaginary,18,PCA,SVM
0.998,1.0,1.0,1.0,1.0,0.5664335664335665,1.0,1.0,Motor Imaginary,16,PCA,XGB
0.998,0.9845679012345679,0.9849388736604267,0.9845679012345679,0.9844022585068067,0.588339222614841,0.9773998688634367,0.9776286188084332,Motor Imaginary,18,PCA,XGB
0.998,0.9814814814814815,0.9821428571428572,0.9814814814814815,0.9812868414124641,0.5829095923468068,0.9727883538633818,0.9732108277676332,Motor Imaginary,13,PCA,XGB
0.998,0.9722222222222222,0.9727296044230449,0.9722222222222222,0.9720244549821975,0.5491810820758191,0.9593072747317155,0.9595597989325154,Motor Imaginary,14,PCA,XGB
0.997,0.9938271604938271,0.9939024390243901,0.9938271604938271,0.993766956616309,0.5795053003533569,0.9909907404832745,0.9910517470250141,Motor Imaginary,19,PCA,KNN
0.997,0.9907407407407407,0.990909090909091,0.9907407407407407,0.9906891520907832,0.5658814869341185,0.986461641317065,0.9865708620044386,Motor Imaginary,17,PCA,XGB
0.997,0.9876543209876543,0.9879603648924048,0.9876543209876543,0.9875521803299582,0.5795053003533569,0.9820114926574688,0.982108538127328,Motor Imaginary,15,PCA,SVM
0.995,0.9938271604938271,0.9941358024691359,0.9938271604938271,0.9938871291528296,0.5629370629370629,0.9910504654310416,0.9911108463199204,Motor Imaginary,14,PCA,KNN
0.991,1.0,1.0,1.0,1.0,0.5724381625441697,1.0,1.0,Motor Imaginary,12,PCA,KNN
0.991,0.9814814814814815,0.9816852591222052,0.9814814814814815,0.9814818628740984,0.5671809014909938,0.9730176135022971,0.9730596193213198,Motor Imaginary,13,PCA,KNN
