Model,Accuracy
EEGNet| subjc: 18,0.8333333333333334
DeepConvNet| subjc: 18,0.7777777777777778
HopefullNet| subjc: 18,0.7777777777777778
PCA + SVM| subjc: 18,0.6666666666666666
EEGNet| subjc: 15,0.6666666666666666
ShallowConvNet| subjc: 18,0.6666666666666666
Transformer Pos Enc,0.6111111111111112
PCA + XGB| subjc: 18,0.6111111111111112
DeepConvNet| subjc: 15,0.6111111111111112
ShallowConvNet| subjc: 17,0.6111111111111112
HopefullNet| subjc: 15,0.6111111111111112
TmFq + Wvl + XGB| subjc: 18,0.5833333333333334
PCA + SVM| subjc: 15,0.5833333333333334
ShallowConvNet| subjc: 13,0.5555555555555556
ShallowConvNet| subjc: 15,0.5555555555555556
PCA + SVM| subjc: 13,0.5555555555555556
PCA + SVM| subjc: 17,0.5555555555555556
HopefullNet| subjc: 12,0.5555555555555556
ShallowConvNet| subjc: 14,0.5555555555555556
HopefullNet| subjc: 17,0.5555555555555556
EEGNet| subjc: 17,0.5555555555555556
EEGNet| subjc: 13,0.5555555555555556
ShallowConvNet| subjc: 11,0.5555555555555556
HopefullNet| subjc: 19,0.5555555555555556
TmFq + Wvl + SVM| subjc: 18,0.5555555555555556
TmFq + Wvl + SVM| subjc: 16,0.5277777777777778
PCA + KNN| subjc: 18,0.5277777777777778
Transformer,0.5
DeepConvNet| subjc: 12,0.5
EEGNet| subjc: 10,0.5
ShallowConvNet| subjc: 12,0.5
ShallowConvNet| subjc: 19,0.5
HopefullNet| subjc: 13,0.5
PCA + XGB| subjc: 17,0.5
PCA + XGB| subjc: 13,0.4722222222222222
PCA + XGB| subjc: 14,0.4722222222222222
PCA + KNN| subjc: 15,0.4722222222222222
PCA + XGB| subjc: 15,0.4722222222222222
TmFq + Wvl + XGB| subjc: 14,0.4722222222222222
PCA + SVM| subjc: 19,0.4722222222222222
PCA + XGB| subjc: 11,0.4722222222222222
PCA + XGB| subjc: 12,0.4722222222222222
Transformer Pos Enc,0.4444444444444444
PCA + SVM| subjc: 11,0.4444444444444444
DeepConvNet| subjc: 13,0.4444444444444444
DeepConvNet| subjc: 17,0.4444444444444444
EEGNet| subjc: 19,0.4444444444444444
TmFq + Wvl + SVM| subjc: 11,0.4444444444444444
PCA + SVM| subjc: 14,0.4444444444444444
TmFq + Wvl + XGB| subjc: 13,0.4444444444444444
PCA + XGB| subjc: 16,0.4166666666666667
PCA + SVM| subjc: 16,0.4166666666666667
PCA + XGB| subjc: 19,0.4166666666666667
