cross_val_score,Accuracy,Precision,Recall,F1_score,auc,kappa,mathew_coef,dataset,subject,pipeline,model_name
0.722,0.7,0.6945137085137085,0.7,0.6955792663188812,0.4513303049967553,0.599406528189911,0.60039711972374,eeg-mi,S009,time domain features -> wavelet,XGB
0.722,0.6333333333333333,0.6606012469955498,0.6333333333333333,0.6341130446448966,0.390655418559377,0.5105471324983519,0.5161751498877919,eeg-mi,S018,time domain features -> wavelet,XGB
0.711,0.4666666666666667,0.46684303350970013,0.4666666666666667,0.4652136752136753,0.5360155743024011,0.2871287128712873,0.2877459936815708,eeg-mi,S002,time domain features -> wavelet,XGB
0.69,0.68,0.68,0.68,0.68,0.6798719487795118,0.3597438975590236,0.3597438975590236,BCICIV_I,BCICIV_calib_ds1g,time domain features -> wavelet,SVM
0.64,0.74,0.7489953762084909,0.74,0.7368344155844155,0.7378951580632253,0.47770188830855764,0.4876424510832785,BCICIV_I,BCICIV_calib_ds1a,time domain features -> wavelet,SVM
0.622,0.7333333333333333,0.7407958989480729,0.7333333333333333,0.7327446983998055,0.5097339390006489,0.6447952639368525,0.6472445844471799,eeg-mi,S026,time domain features -> wavelet,XGB
0.62,0.51,0.510625,0.51,0.5098529852985298,0.510404161664666,0.02078337330135893,0.020820824576076338,BCICIV_I,BCICIV_calib_ds1c,time domain features -> wavelet,XGB
0.611,0.6,0.6214667685255921,0.6,0.6001045403608523,0.4678780012978585,0.46963496480602396,0.475789402934217,eeg-mi,S037,time domain features -> wavelet,XGB
0.61,0.54,0.5416969696969697,0.54,0.5388942307692307,0.5410164065626251,0.08183632734530943,0.08242958841786052,BCICIV_I,BCICIV_calib_ds1a,time domain features -> wavelet,KNN
0.6,0.6777777777777778,0.7244173213617658,0.6777777777777778,0.6664062850729517,0.354639844256976,0.5754716981132075,0.5961266218521242,eeg-mi,S003,time domain features -> wavelet,XGB
0.6,0.51,0.51275,0.51,0.5051093860268172,0.5120048019207684,0.02390438247011961,0.02449979787750126,BCICIV_I,BCICIV_calib_ds1e,time domain features -> wavelet,SVM
0.589,0.6111111111111112,0.6074357329912885,0.6111111111111112,0.6070560303893637,0.3646982478909799,0.48028378155419904,0.4814753556070129,eeg-mi,S029,time domain features -> wavelet,XGB
0.589,0.5333333333333333,0.5802669552669553,0.5333333333333333,0.5456429772153696,0.33257624918883844,0.3782894736842105,0.3818722845724159,eeg-mi,S008,time domain features -> wavelet,XGB
0.589,0.5333333333333333,0.5412393162393162,0.5333333333333333,0.5332363436330605,0.481829980532122,0.37808489634748266,0.3800231571725573,eeg-mi,S007,time domain features -> wavelet,XGB
0.589,0.5333333333333333,0.5384280524543682,0.5333333333333333,0.5328173284817803,0.3926022063595068,0.3775728634941544,0.37900834730051525,eeg-mi,S001,time domain features -> wavelet,XGB
0.58,0.64,0.6429090909090909,0.64,0.6391346153846154,0.6410564225690276,0.281437125748503,0.28347736504678867,BCICIV_I,BCICIV_calib_ds1f,time domain features -> wavelet,SVM
0.58,0.5138888888888888,0.5223958333333333,0.5138888888888888,0.5132323622097884,0.5186480186480187,0.03669724770642213,0.03739787960033829,BCICIV_II,A04T,time domain features -> wavelet,XGB
0.57,0.52,0.5268385345997286,0.52,0.5058128078817734,0.5234093637454982,0.04648390941597147,0.04977466690598996,BCICIV_I,BCICIV_calib_ds1c,time domain features -> wavelet,KNN
0.567,0.43333333333333335,0.4096984805318139,0.43333333333333335,0.4104814031893934,0.48637248539909145,0.2484034714262322,0.2529257383648218,eeg-mi,S004,time domain features -> wavelet,XGB
0.562,0.5421686746987951,0.5569991384553983,0.5421686746987951,0.5431917053296187,0.370782726045884,0.38205329153605017,0.38499567195411366,eeg-mi,S041,time domain features -> wavelet,XGB
0.56,0.53,0.5319318181818182,0.53,0.5283508771929825,0.5312124849939976,0.06225059856344772,0.06286676580472746,BCICIV_I,BCICIV_calib_ds1f,time domain features -> wavelet,KNN
0.56,0.52,0.5228110789582472,0.52,0.5161352657004832,0.5218087234893958,0.043443603029095224,0.04433282797767181,BCICIV_I,BCICIV_calib_ds1f,time domain features -> wavelet,XGB
0.556,0.4777777777777778,0.4875466443887497,0.4777777777777778,0.4781653746770026,0.5055158987670344,0.3049622083470259,0.30692905992700886,eeg-mi,S027,time domain features -> wavelet,XGB
0.55,0.42,0.4190905332782141,0.42,0.41533011272141707,0.4217687074829932,-0.1558389796731765,-0.15902876825018053,BCICIV_I,BCICIV_calib_ds1d,time domain features -> wavelet,XGB
0.54,0.49,0.49019999999999997,0.49,0.49005100510051003,0.48999599839935976,-0.020000000000000018,-0.02000400120040014,BCICIV_I,BCICIV_calib_ds1d,time domain features -> wavelet,KNN
0.54,0.4742857142857143,0.4749188099593117,0.4742857142857143,0.47435438125093293,0.4745098039215686,-0.050913838120104415,-0.05096706917423439,BCICIV_I,all,time domain features -> wavelet,XGB
0.536,0.48857142857142855,0.48944578583337617,0.48857142857142855,0.4885255039982833,0.4890522875816994,-0.021856140923177225,-0.02189936135012454,BCICIV_I,all,time domain features -> wavelet,KNN
0.533,0.5444444444444444,0.563879584017515,0.5444444444444444,0.5402167431489979,0.3685918234912394,0.3948835683830765,0.4008741055630975,eeg-mi,S014,time domain features -> wavelet,XGB
0.533,0.5,0.5052129629629629,0.5,0.49563612815944175,0.4406229720960415,0.3358478189570351,0.3395234608981975,eeg-mi,S006,time domain features -> wavelet,XGB
0.53,0.53,0.5293506493506492,0.53,0.5283468998090644,0.528811524609844,0.057738572574178026,0.05803086074282534,BCICIV_I,BCICIV_calib_ds1e,time domain features -> wavelet,XGB
0.528,0.5138888888888888,0.5251984126984126,0.5138888888888888,0.511352657004831,0.520979020979021,0.04109589041095896,0.042405209564413175,BCICIV_II,A04T,time domain features -> wavelet,KNN
0.52,0.55,0.5498397435897435,0.55,0.5498648783905514,0.5496198479391757,0.09927942353883112,0.09929931720897946,BCICIV_I,BCICIV_calib_ds1g,time domain features -> wavelet,KNN
0.511,0.5222222222222223,0.5005698005698006,0.5222222222222223,0.5066378066378068,0.3922777417261519,0.3596955658504303,0.3626486523897987,eeg-mi,S021,time domain features -> wavelet,XGB
0.51,0.59,0.591731078904992,0.59,0.5893844460014013,0.5908363345338136,0.18130990415335457,0.18222037205601177,BCICIV_I,BCICIV_calib_ds1g,time domain features -> wavelet,XGB
0.51,0.56,0.5596767676767677,0.56,0.5589401846647932,0.5590236094437776,0.11823647294589179,0.1186181882110676,BCICIV_I,BCICIV_calib_ds1c,time domain features -> wavelet,SVM
0.5,0.6888888888888889,0.6901794716676749,0.6888888888888889,0.6840145665412278,0.5438027255029202,0.5844327176781003,0.5876323928851005,eeg-mi,S017,time domain features -> wavelet,XGB
0.496,0.5214285714285715,0.5189241311336248,0.5214285714285715,0.4986687807962599,0.515359477124183,0.031071812246921682,0.033935076651612016,BCICIV_I,all,time domain features -> wavelet,SVM
0.49,0.52,0.5191187270501836,0.52,0.5176811594202898,0.5186074429771909,0.03730445246690728,0.037577524347545466,BCICIV_I,BCICIV_calib_ds1b,time domain features -> wavelet,SVM
0.489,0.5333333333333333,0.5432551085568327,0.5333333333333333,0.5173251626081815,0.30856586632057104,0.3824538474105539,0.3926924499163319,eeg-mi,S015,time domain features -> wavelet,XGB
0.489,0.3888888888888889,0.4060317460317461,0.3888888888888889,0.3911689044785878,0.2874756651524984,0.17910447761194026,0.18159828845540663,eeg-mi,S018,time domain features -> wavelet,SVM
0.486,0.5833333333333334,0.5855212355212355,0.5833333333333334,0.5839783281733746,0.5827505827505828,0.16473317865429227,0.1649891730430431,BCICIV_II,A04T,time domain features -> wavelet,SVM
0.478,0.6222222222222222,0.6164273504273504,0.6222222222222222,0.6070861678004534,0.41109669046073977,0.4979491386382281,0.5039893894401068,eeg-mi,S033,time domain features -> wavelet,XGB
0.478,0.5444444444444444,0.5429307568438003,0.5444444444444444,0.5350392521708311,0.4513303049967553,0.39388961892247043,0.3983425856343146,eeg-mi,S032,time domain features -> wavelet,XGB
0.47,0.54,0.5404321728691477,0.54,0.54,0.5402160864345739,0.0803678528588565,0.08043217286914765,BCICIV_I,BCICIV_calib_ds1b,time domain features -> wavelet,XGB
0.466,0.3253012048192771,0.33370971809945094,0.3253012048192771,0.3190336352085974,0.5775978407557355,0.09905020352781546,0.10080916955751541,eeg-mi,S041,time domain features -> wavelet,SVM
0.459,0.3958333333333333,0.402758261377213,0.3958333333333333,0.3935622365909009,0.535501489572989,0.19769452449567726,0.19988654897394192,BCICIV_II,A05T,time domain features -> wavelet,XGB
