model_name,cross_val_score,Accuracy,Precision,Recall,F1_score,auc,kappa,mathew_coef,model_runtime,dataset,subject
STD_Scaler => SVM,0.739,0.6896551724137931,0.7186932849364791,0.6896551724137931,0.6821316614420062,0.6952380952380952,0.38588235294117645,0.4105134629438423,0:00:00.041579,BCICIV_II,A04T
Wavelet -> Time Domain Features => LDA,0.712,0.6,0.601010101010101,0.6,0.5989974937343359,0.6,0.19999999999999996,0.20100756305184242,0:00:00.420812,BCICIV_I,BCICIV_calib_ds1a
bandpass -> PSD => SVM,0.688,0.725,0.7301790281329923,0.725,0.7234443746071653,0.7250000000000001,0.44999999999999996,0.4551495636817563,0:00:00.084853,BCICIV_I,BCICIV_calib_ds1e
Wavelet -> Time Domain Features => SVM,0.688,0.675,0.6790281329923274,0.675,0.6731615336266499,0.675,0.35,0.35400521619692155,0:00:00.108586,BCICIV_I,BCICIV_calib_ds1a
bandpass -> PSD => SVM,0.681,0.55,0.5505050505050505,0.55,0.5488721804511277,0.55,0.09999999999999998,0.10050378152592121,0:00:00.097866,BCICIV_I,BCICIV_calib_ds1g
bandpass -> PSD => SVM,0.675,0.6,0.601010101010101,0.6,0.5989974937343359,0.6,0.19999999999999996,0.20100756305184242,0:00:00.082227,BCICIV_I,BCICIV_calib_ds1f
bandpass -> PSD => SVM,0.669,0.525,0.5266666666666666,0.525,0.5174603174603176,0.5249999999999999,0.050000000000000044,0.051639777949432225,0:00:00.076665,BCICIV_I,BCICIV_calib_ds1a
STD_Scaler => LDA,0.643,0.7586206896551724,0.795825771324864,0.7586206896551724,0.7527690700104492,0.7642857142857143,0.5223529411764706,0.5556950534971523,0:00:05.678576,BCICIV_II,A04T
 => KNN,0.635,0.5862068965517241,0.5973528387321492,0.5862068965517241,0.5802387267904511,0.5904761904761905,0.17924528301886788,0.1863551306732249,0:00:00.048376,BCICIV_II,A04T
PSD -> Time Domain Features -> STD_Scaler => LDA,0.631,0.55,0.55,0.55,0.55,0.55,0.09999999999999998,0.1,0:00:00.428646,BCICIV_I,BCICIV_calib_ds1a
Wavelet -> Time Domain Features => LDA,0.631,0.525,0.5255754475703325,0.525,0.5223130106851037,0.525,0.050000000000000044,0.05057217374241736,0:00:00.449038,BCICIV_I,BCICIV_calib_ds1g
 => LDA,0.626,0.7586206896551724,0.7718052738336714,0.7586206896551724,0.7568903720182919,0.7619047619047619,0.520094562647754,0.531456782681411,0:00:05.771551,BCICIV_II,A04T
